 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Effective NP 8 | 0.000291718 / -0.000291718 | 2.33694e-06 / -2.33694e-06 | 0.000735908 / -0.000735908 | 8.12418e-05 / -8.12418e-05 | 0.000303092 / -0.000303092 | 0.00122099 / -0.00122099 | 0.000782922 / -0.000782922 | 0.000459582 / -0.000459582 | 0.00168552 / -0.00168552 | 0.00119876 / -0.00119876 | 0.000313133 / -0.000313133 | -4.725e-05 / 4.725e-05 | 0.000302394 / -0.000302394 | 0 / 0 | 0 / 0 | 1.13444e-05 / -1.13444e-05 | -nan / -nan |
 | #eta intercalib. (model) | 0.0386553 / -0.0386553 | 0.0100178 / -0.0100178 | 0.00967225 / -0.00967225 | 0.00580519 / -0.00580519 | 0.00514788 / -0.00514788 | 0.0195087 / -0.0195087 | 0.0306221 / -0.0306221 | 0.0129688 / -0.0129688 | 0.0286155 / -0.0286155 | 0.00820885 / -0.00820885 | 0.00818115 / -0.00818115 | 0.0208889 / -0.0208889 | 0.0079536 / -0.0079536 | 0 / 0 | 0 / 0 | 0.00303315 / -0.00303315 | -nan / -nan |
 | #eta intercalib. (stat.) | -0.0012914 / 0.0012914 | 0.0113604 / -0.0113604 | 0.00497194 / -0.00497194 | 0.00443437 / -0.00443437 | 0.00447297 / -0.00447297 | 0.0143516 / -0.0143516 | 0.0109189 / -0.0109189 | 0.00681752 / -0.00681752 | 0.0227579 / -0.0227579 | 0.0109834 / -0.0109834 | 0.119859 / -0.119859 | 0.00931483 / -0.00931483 | 0.0114385 / -0.0114385 | 0 / 0 | 0 / 0 | 0.0021005 / -0.0021005 | -nan / -nan |
 | #eta intercalib. (stat.) | 0.000226898 / -0.000226898 | -0.0163617 / 0.0163617 | -0.00285816 / 0.00285816 | -0.00316227 / 0.00316227 | -0.00199923 / 0.00199923 | -0.00980772 / 0.00980772 | -0.0100545 / 0.0100545 | -0.00707416 / 0.00707416 | -0.0181941 / 0.0181941 | -0.00772779 / 0.00772779 | -0.11922 / 0.11922 | -0.00112363 / 0.00112363 | 0.00334796 / -0.00334796 | 0 / 0 | 0 / 0 | -0.000948045 / 0.000948045 | -nan / -nan |
 | Flavour composition | 0.0319241 / -0.0319241 | 0.0480576 / -0.0480576 | 0.0495494 / -0.0495494 | 0.0363555 / -0.0363555 | 0.0391126 / -0.0391126 | 0.137731 / -0.137731 | 0.123339 / -0.123339 | 0.0984382 / -0.0984382 | 0.134634 / -0.134634 | 0.0824479 / -0.0824479 | 0.350965 / -0.350965 | 0.0964467 / -0.0964467 | 0.10907 / -0.10907 | 0 / 0 | 0 / 0 | 0.0200191 / -0.0200191 | -nan / -nan |
 | Flavor response | -0.035922 / 0.035922 | -0.0164756 / 0.0164756 | -0.0186304 / 0.0186304 | -0.0138783 / 0.0138783 | -0.0134167 / 0.0134167 | -0.0438331 / 0.0438331 | -0.0530518 / 0.0530518 | -0.0277142 / 0.0277142 | -0.0491044 / 0.0491044 | -0.032878 / 0.032878 | -0.127001 / 0.127001 | -0.0304536 / 0.0304536 | -0.0221433 / 0.0221433 | 0 / 0 | 0 / 0 | -0.0074418 / 0.0074418 | -nan / -nan |
 | Pile-up offset mu term | -0.000546597 / 0.000546597 | -0.0113268 / 0.0113268 | -0.00129131 / 0.00129131 | -0.00221712 / 0.00221712 | -0.00116882 / 0.00116882 | -0.00227937 / 0.00227937 | -0.00131677 / 0.00131677 | -0.000618339 / 0.000618339 | -0.00624457 / 0.00624457 | -0.00293249 / 0.00293249 | 0.112975 / -0.112975 | 0.00841126 / -0.00841126 | -0.00671991 / 0.00671991 | 0 / 0 | 0 / 0 | -0.000503893 / 0.000503893 | -nan / -nan |
 | Pile-up offset NPV term | 0.0276148 / -0.0276148 | -0.0109949 / 0.0109949 | 0.00639172 / -0.00639172 | 0.00403274 / -0.00403274 | 0.00400667 / -0.00400667 | 0.0229642 / -0.0229642 | 0.013857 / -0.013857 | 0.0162748 / -0.0162748 | 0.031419 / -0.031419 | 0.0133952 / -0.0133952 | 0.00714252 / -0.00714252 | 0.00263173 / -0.00263173 | 0.0140172 / -0.0140172 | 0 / 0 | 0 / 0 | 0.00216835 / -0.00216835 | -nan / -nan |
 | Pile-up offset p_{T} term | -0.000242944 / 0.000242944 | 3.8743e-07 / -3.8743e-07 | 4.25348e-06 / -4.25348e-06 | -1.78626e-05 / 1.78626e-05 | 0.000255125 / -0.000255125 | -5.68733e-05 / 5.68733e-05 | 0.000950277 / -0.000950277 | 0.00230054 / -0.00230054 | 0.000341056 / -0.000341056 | 0.000927045 / -0.000927045 | 0.00145713 / -0.00145713 | 0.000265875 / -0.000265875 | 0.00156698 / -0.00156698 | 0 / 0 | 0 / 0 | -9.32938e-05 / 9.32938e-05 | -nan / -nan |
 | #rho topology | 0.0227892 / -0.0227892 | 0.0399606 / -0.0399606 | 0.0386468 / -0.0386468 | 0.0274255 / -0.0274255 | 0.0310757 / -0.0310757 | 0.108643 / -0.108643 | 0.099791 / -0.099791 | 0.0686463 / -0.0686463 | 0.107519 / -0.107519 | 0.0609806 / -0.0609806 | 0.197529 / -0.197529 | 0.0448331 / -0.0448331 | 0.0896698 / -0.0896698 | 0 / 0 | 0 / 0 | 0.0167825 / -0.0167825 | -nan / -nan |
 | Punch-through correction | 0 / 0 | 0 / 0 | -6.13808e-06 / 6.13808e-06 | -3.93017e-07 / 3.93017e-07 | 7.6917e-07 / -7.6917e-07 | 3.00532e-05 / -3.00532e-05 | 1.02818e-05 / -1.02818e-05 | -2.89443e-06 / 2.89443e-06 | 4.18079e-05 / -4.18079e-05 | 1.65163e-05 / -1.65163e-05 | 4.76837e-07 / -4.76837e-07 | -2.81473e-06 / 2.81473e-06 | 7.55298e-07 / -7.55298e-07 | 0 / 0 | 0 / 0 | -1.64123e-06 / 1.64123e-06 | -nan / -nan |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | JER | 0.121787 / -0.121787 | -0.006042 / 0.006042 | 0.00543843 / -0.00543843 | -0.00448101 / 0.00448101 | -0.00591519 / 0.00591519 | 0.0620846 / -0.0620846 | 0.0391217 / -0.0391217 | -0.0191179 / 0.0191179 | 0.0438335 / -0.0438335 | 0.0298146 / -0.0298146 | 0.0123047 / -0.0123047 | -0.0498622 / 0.0498622 | -0.0332362 / 0.0332362 | 0 / 0 | 0 / 0 | -0.00616002 / 0.00616002 | -nan / -nan |
 | MET TST reso. para. | 0 / 0 | 0 / 0 | -2.09906e-07 / 2.09906e-07 | -0.000483345 / 0.000483345 | -1.69164e-05 / 1.69164e-05 | 3.07684e-05 / -3.07684e-05 | 0 / 0 | 0 / 0 | -0.00152114 / 0.00152114 | -4.88758e-06 / 4.88758e-06 | -1.72046e-06 / 1.72046e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000222052 / 0.000222052 | -nan / -nan |
 | MET TST reso. perp. | 0 / 0 | 0 / 0 | -9.7828e-07 / 9.7828e-07 | -0.00048468 / 0.00048468 | -2.04095e-05 / 2.04095e-05 | -5.31429e-06 / 5.31429e-06 | 0 / 0 | 0 / 0 | -0.00157003 / 0.00157003 | -4.87378e-06 / 4.87378e-06 | -1.6563e-06 / 1.6563e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00021854 / 0.00021854 | -nan / -nan |
 | MET TST scale | 0 / 0 | 0 / 0 | 4.31146e-06 / -4.31146e-06 | -1.82598e-06 / 1.82598e-06 | -1.44278e-06 / 1.44278e-06 | 3.88217e-06 / -3.88217e-06 | 0 / 0 | 0 / 0 | -1.39676e-05 / 1.39676e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.12888e-06 / 4.12888e-06 | -nan / -nan |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.184143 / -0.184143 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.108728 / -0.108728 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | 0.0736722 / -0.0736722 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.431866 / -0.431866 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | -0.0178695 / 0.0178695 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | -0.0360839 / 0.0360839 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | 0.0230137 / -0.0230137 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.0196406 / -0.0196406 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.0221026 / 0.0221026 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.0564339 / -0.0564339 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | 0.010554 / -0.010554 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.0291046 / 0.0291046 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.0322837 / 0.0322837 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.0126424 / 0.0126424 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.148949 / -0.148949 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.104128 / -0.104128 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.284864 / -0.284864 | 0.284864 / -0.284864 | 0.284864 / -0.284864 | 0.284864 / -0.284864 | 0.284864 / -0.284864 | 0.284864 / -0.284864 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.298006 / -0.298006 | 0 / 0 | 0 / 0 | 0.298006 / -0.298006 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.285524 / -0.285524 | 0 / 0 | 0 / 0 | 0.285524 / -0.285524 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.285804 / 0.285804 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0092769 / -0.0092769 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0775213 / -0.0775213 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.109039 / -0.109039 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0447771 / -0.0447771 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Dibosons norm. 6j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.476481 / -0.476481 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | QCDE norm. 6j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.44265 / -0.44265 | 0 / 0 | 0 / 0 | -nan / -nan |
 | QCDMU norm. 6j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.495545 / -0.495545 | 0 / 0 | -nan / -nan |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.297935 / -0.297935 | -nan / -nan |
 | signal generator | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | signal PS & Had | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | signal ISR/FSR | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | ttbbNorm | 0 / 0 | 0 / 0 | 0.144296 / -0.144296 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
